mu,P_mui0,P_mui1,P_mui2,beta2,P_epsilon,P_kappa,P_gamma0,P_gamma1,P_gamma2,P_nu,cdr_b,P_h,P_j,Equi_incidence
0.016318866,0.066290869,0.068649059,0.382473861,46.48738725,0.109575343,0.630463876,0.578968605,0.574637672,0.313009013,0.05032874,0.622724507,0.021987889,0.02480674,369.145338
0.016235706,0.069409902,0.072153759,0.423328776,42.52804805,0.09785078,0.644662871,0.576760399,0.580686639,0.309721862,0.050190572,0.646192397,0.021075048,0.030673584,263.2475574
0.014854422,0.06328581,0.075702526,0.387462271,49.39181838,0.10965916,0.608884696,0.580659984,0.579252252,0.306327695,0.050585992,0.643546569,0.02186964,0.029692369,391.4721695
0.015690616,0.066655736,0.073623706,0.424527746,42.76567891,0.093707875,0.609540461,0.559823,0.577542733,0.339835406,0.046085457,0.66415895,0.025434615,0.022458008,230.8432359
0.015092419,0.065223799,0.066645024,0.39643238,53.21890941,0.099157941,0.651443587,0.571340617,0.569411029,0.275147505,0.059653867,0.609496611,0.033075002,0.027820749,443.59832
0.015458734,0.066383405,0.067963293,0.370808573,38.24935409,0.103320469,0.623514559,0.570930265,0.571963329,0.35968711,0.045306521,0.658459093,0.029456444,0.0309777,226.8460305
0.015876861,0.072756716,0.067621159,0.37292114,47.73540805,0.099933287,0.655809431,0.564758909,0.574317198,0.330773445,0.052739435,0.662610894,0.032130813,0.040183138,312.9920442
0.01611036,0.062725134,0.066729778,0.472486223,44.76787941,0.105594381,0.647123965,0.575715385,0.562162304,0.289816168,0.057283205,0.685879356,0.033841073,0.020234325,298.4189517
0.016826765,0.07059718,0.076330382,0.418008634,52.24402296,0.098921326,0.632705568,0.562881725,0.572122342,0.248534065,0.058679237,0.654832124,0.02635849,0.043628361,409.0915952
0.01555236,0.066478683,0.073948382,0.391699352,44.55729379,0.091670687,0.633687969,0.560285031,0.573645728,0.331916841,0.040370737,0.648852027,0.034020695,0.035431938,216.2463029
0.01642268,0.077262474,0.073805149,0.44261711,44.22401126,0.11090165,0.602305426,0.581689617,0.568437547,0.292230246,0.044892722,0.679718642,0.028617901,0.037111672,279.43302
0.016833324,0.068402725,0.064762568,0.455650921,48.88858071,0.108107424,0.649869681,0.568658732,0.575193468,0.358718634,0.041537284,0.656322814,0.038221759,0.027879264,244.7373219
0.014696571,0.065666832,0.069933513,0.439335687,50.39777615,0.10283849,0.638743656,0.574793913,0.575016219,0.403169911,0.038218515,0.710693182,0.035295682,0.034684077,179.848514
0.014921097,0.069212397,0.069542004,0.418558156,40.12861015,0.096790465,0.635534202,0.577692763,0.579549815,0.263738371,0.048744237,0.641349531,0.02070892,0.032189028,263.9409618
0.016691107,0.065281324,0.068234695,0.386543602,44.04795791,0.104272125,0.642949292,0.582088117,0.565821365,0.315960914,0.028641559,0.633257877,0.029899568,0.03180519,181.3149252
0.01633073,0.065373894,0.060395258,0.423567486,47.90941854,0.103152092,0.668967476,0.562707793,0.575161634,0.317989126,0.060254958,0.673023049,0.031341158,0.026178531,335.2441768
0.017019578,0.070884225,0.071237724,0.442063272,39.55330782,0.095565267,0.644399567,0.567496075,0.565431082,0.357661698,0.056114307,0.705692285,0.03044036,0.022871059,192.0551628
0.015209595,0.076004005,0.070286131,0.451335338,50.89421238,0.100108383,0.600495295,0.572317452,0.574950708,0.345991874,0.054346646,0.597984851,0.018099824,0.036164211,406.4964141
0.014659577,0.071559574,0.063895083,0.424133163,38.8316379,0.095697408,0.635166794,0.566621838,0.577695348,0.307876069,0.048618892,0.597755733,0.039061223,0.019750494,270.2227286
0.016982493,0.064297443,0.072187097,0.400911431,50.73315843,0.109513629,0.594625166,0.567745214,0.567006927,0.312603532,0.061837064,0.65034105,0.029131952,0.023682246,487.0936012
0.015498683,0.062671887,0.06402828,0.372079764,51.40906565,0.094234901,0.579320922,0.575486413,0.569334619,0.26797541,0.060690654,0.643837898,0.02087144,0.02752114,474.0527628
0.016368649,0.070208584,0.07763062,0.446167372,41.7200852,0.105414219,0.644074634,0.566419372,0.574173482,0.281091915,0.045553572,0.668444367,0.024592298,0.027237846,229.6929176
0.016002657,0.070421158,0.060647713,0.38799435,45.39946139,0.100704177,0.65017603,0.579593226,0.568721665,0.386348508,0.033198777,0.64723799,0.020380609,0.039645448,177.3853356
0.015698539,0.065467205,0.074821764,0.459599285,45.84717706,0.100946156,0.598853272,0.569592838,0.568450498,0.243558038,0.043438269,0.738122101,0.042036708,0.041020743,205.7631838
0.016524636,0.075895217,0.070633965,0.377288768,48.86972301,0.095295307,0.615271227,0.573797445,0.565675546,0.27560138,0.03399594,0.584788246,0.025653887,0.017990579,284.604816
0.015472094,0.07229708,0.063071539,0.393493087,49.14109204,0.096202723,0.637025769,0.569541079,0.564025784,0.299077489,0.049201197,0.657927919,0.034595133,0.025635387,311.3934
0.015221101,0.061878684,0.076174935,0.400745273,46.30328941,0.104768604,0.578853522,0.57185481,0.576313109,0.325140953,0.061970788,0.622215858,0.020620799,0.027028824,466.3101761
0.016627958,0.059970212,0.079435751,0.367223032,38.00366861,0.106952754,0.628646394,0.57530729,0.572638132,0.315449965,0.041365111,0.637669009,0.030035659,0.032045471,234.1299678
0.015282498,0.077124105,0.069886611,0.3621707,47.332299,0.105521433,0.618320951,0.584056122,0.576838479,0.254052732,0.041860135,0.692461977,0.045055733,0.036855712,286.9452594
0.015312987,0.07625865,0.064281213,0.443752884,40.46290599,0.097147162,0.57604222,0.572146546,0.562397791,0.306965202,0.051695702,0.663711033,0.021797155,0.02640087,288.3904973
0.015962344,0.067362618,0.081500409,0.473787466,50.1449978,0.098189558,0.64826666,0.576405102,0.565061259,0.223020397,0.038772448,0.644310683,0.034673246,0.019541183,247.8529856
0.015624857,0.065957141,0.076149426,0.385090882,44.08667465,0.096139415,0.591873137,0.555717482,0.580138913,0.289255494,0.040208989,0.615347489,0.015013776,0.037479905,287.0388345
0.01621605,0.063400128,0.068552632,0.410124289,47.84810461,0.095368672,0.626087513,0.577894672,0.5708002,0.308037724,0.067849383,0.664792672,0.030768578,0.013190049,405.4402545
0.015956539,0.073117712,0.072301316,0.428509815,45.60835925,0.101225371,0.58708102,0.571362868,0.584629675,0.408636629,0.055556139,0.579035755,0.013536304,0.040339349,393.2559713
0.015966599,0.063905938,0.065551027,0.372778834,49.33810947,0.107442604,0.656464785,0.58010615,0.582131203,0.34887547,0.056511468,0.65993072,0.017357462,0.037058205,359.277563
0.0161831,0.07922148,0.06528556,0.377364726,40.85963159,0.102743104,0.588533099,0.580868375,0.578658894,0.304091781,0.043967577,0.697085506,0.028885833,0.029308842,236.9948111
0.014550467,0.082848705,0.070586502,0.430100251,50.63604762,0.106629226,0.628103528,0.585570965,0.573413407,0.305157465,0.034371278,0.705851499,0.039476706,0.028843245,203.823166
0.016458805,0.057347002,0.071769532,0.432204632,40.21201909,0.095134575,0.670427789,0.56217904,0.570124067,0.365364114,0.040649606,0.641832352,0.015743164,0.033316739,159.2083109
0.017201849,0.070503889,0.058968843,0.415262238,50.41735686,0.110300374,0.615889144,0.570204704,0.561747337,0.326855547,0.06724122,0.638617666,0.030713522,0.044716821,508.2025769
0.014968938,0.062321032,0.065037444,0.434341256,49.65296178,0.101935024,0.577445278,0.584452431,0.569464196,0.234419132,0.042603198,0.631101524,0.036068509,0.042040446,365.2386097
0.014809483,0.076377301,0.079334706,0.401533748,53.35244632,0.102592504,0.582146727,0.561725727,0.55930624,0.380234183,0.063506973,0.713990744,0.024502684,0.024029437,407.5172676
0.014848971,0.076516452,0.064633689,0.383646092,54.95220874,0.087889037,0.612488098,0.563281775,0.568008972,0.356311807,0.027720021,0.61423712,0.039557226,0.02269956,210.8866874
0.014895063,0.073716942,0.063991709,0.449615699,42.98161519,0.106215147,0.625243102,0.567876168,0.583516912,0.338370034,0.040302332,0.625731117,0.033476329,0.031233981,242.9349729
0.015044952,0.07337934,0.074878937,0.406283273,52.41857093,0.11405497,0.587604491,0.580750758,0.562234001,0.298421242,0.033593474,0.579342221,0.02624804,0.041522098,389.256555
0.017059594,0.058877498,0.085704604,0.357059515,47.08260751,0.107285091,0.619101218,0.577609479,0.571987118,0.223121877,0.054859829,0.583998049,0.021603323,0.022123041,491.3073946
0.016866213,0.070948114,0.068945254,0.35534651,45.37755813,0.112866576,0.651861788,0.570043645,0.583612174,0.31181815,0.050679162,0.610238785,0.040503065,0.01517689,373.2947536
0.016074938,0.065460667,0.070475647,0.42520655,43.96581835,0.091456668,0.581119134,0.574854952,0.574113731,0.29593939,0.05720448,0.639315229,0.011912526,0.023330973,352.9515821
0.01597427,0.069730693,0.076831855,0.44321306,51.04890431,0.107952549,0.620842095,0.554486238,0.569584443,0.276844232,0.045431162,0.613346124,0.04419319,0.030297395,370.5512486
0.015164021,0.062770018,0.066940007,0.461481371,33.05630922,0.082615856,0.645299013,0.572165124,0.572687647,0.273748388,0.05527849,0.697928578,0.01085687,0.039431752,142.4427735
0.014759728,0.073799963,0.075649517,0.493595925,52.00432066,0.111555117,0.655221084,0.574920589,0.578480057,0.261320997,0.07263327,0.635635089,0.026331389,0.01930127,496.7148403
0.015432244,0.074401971,0.063438771,0.369538138,43.82229712,0.113436683,0.603138245,0.557360276,0.571425457,0.3274757,0.054482563,0.732728888,0.023925432,0.047341687,300.6616271
